@relation acc
@attribute lat numeric
@attribute lon numeric
@attribute airtemp numeric
@attribute groundtemp numeric
@attribute hours numeric
@attribute acc {Y, N}
@data
47.68694,-122.3553,44.64, 44.72,10, Y 
47.616447,-122.31276,44.54, 44.63,8, Y 
47.7025,-122.36385,47.38, 47.97,3, Y 
47.613464,-122.32891,44.96, 45.73,11, Y 
47.66048,-122.36619,46.69, 47.52,12, Y 
47.609653,-122.3331,44.72, 44.93,8, Y 
47.62081,-122.332985,44.23, 44.18,7, Y 
47.69243,-122.3768,44.00, 43.79,7, Y 
47.580307,-122.29416,44.30, 44.02,7, Y 
47.636337,-122.37614,44.67, 44.26,8, Y 
47.627174,-122.35212,45.91, 45.20,10, Y 
47.67089,-122.36618,44.59, 44.29,8, Y 
47.62314,-122.32532,45.48, 46.26,12, Y 
47.648045,-122.33635,50.66, 49.97,6, Y 
47.62803,-122.34624,49.78, 49.55,7, Y 
47.5475,-122.32144,49.69, 49.13,7, Y 
47.64116,-122.375015,48.59, 48.49,9, Y 
47.57101,-122.3497,52.68, 50.68,8, Y 
47.565037,-122.37619,49.75, 49.54,8, Y 
47.645622,-122.32588,49.04, 49.02,10, Y 
47.66568,-122.31523,48.89, 48.74,10, Y 
47.545406,-122.3061,48.48, 48.36,9, Y 
47.575577,-122.334206,49.21, 49.44,10, Y 
47.706894,-122.35413,48.82, 48.78,10, Y 
47.688717,-122.337776,48.73, 48.68,10, Y 
47.72685,-122.3342,49.33, 49.28,8, Y 
47.62197,-122.33043,49.42, 49.36,12, Y 
47.63401,-122.35199,49.63, 49.13,12, Y 
47.664936,-122.317406,49.45, 48.95,12, Y 
47.70173,-122.36207,48.34, 48.33,9, Y 
47.62049,-122.31007,49.45, 49.24,12, Y 
47.67596,-122.37638,49.45, 49.01,12, Y 
47.603874,-122.321686,49.34, 49.41,12, Y 
47.61829,-122.34411,49.78, 49.52,1, Y 
47.520428,-122.33603,49.37, 48.85,12, Y 
47.67578,-122.290276,51.28, 51.36,6, Y 
47.57929,-122.39877,51.96, 51.74,8, Y 
47.614105,-122.29364,51.62, 51.75,9, Y 
47.646397,-122.30462,51.52, 52.04,10, Y 
47.62456,-122.34692,52.14, 52.43,11, Y 
47.592392,-122.32905,52.24, 52.64,12, Y 
47.548065,-122.30993,52.86, 51.85,12, Y 
47.561085,-122.36287,52.77, 52.04,12, Y 
47.618534,-122.338486,52.12, 52.57,11, Y 
47.67956,-122.35946,52.27, 51.70,12, Y 
47.610676,-122.33558,52.24, 54.34,1, Y 
47.57168,-122.364624,53.31, 53.97,2, Y 
47.615055,-122.337456,50.44, 51.33,7, Y 
47.57906,-122.31466,50.93, 51.23,8, Y 
47.603695,-122.329185,50.78, 51.65,8, Y 
47.601654,-122.29677,52.04, 52.68,5, Y 
47.66869,-122.36081,49.99, 50.74,7, Y 
47.57269,-122.31958,50.52, 51.01,10, Y 
47.590313,-122.33698,50.62, 51.37,10, Y 
47.723854,-122.322876,49.61, 50.18,7, Y 
47.68694,-122.3553,51.47, 52.53,12, Y 
47.615883,-122.33294,51.87, 53.52,12, Y 
47.672146,-122.28218,49.24, 50.29,11, Y 
47.625977,-122.32131,47.89, 48.78,1, Y 
47.599186,-122.32245,44.91, 46.03,11, Y 
47.60806,-122.31678,55.80, 55.63,11, Y 
47.54602,-122.31689,44.85, 46.54,9, Y 
47.66309,-122.3131,44.63, 45.88,10, Y 
47.54488,-122.33131,46.07, 46.85,8, Y 
47.61614,-122.34524,45.07, 46.05,10, Y 
47.60169,-122.31416,47.40, 48.49,12, Y 
47.608658,-122.320755,47.58, 48.50,12, Y 
47.708645,-122.331314,44.74, 45.57,10, Y 
47.544727,-122.35489,45.69, 46.30,11, Y 
47.56466,-122.37257,47.90, 48.14,12, Y 
47.533726,-122.37149,43.77, 43.46,5, Y 
47.523243,-122.27921,52.39, 51.79,12, Y 
47.708546,-122.3159,43.12, 43.80,7, Y 
47.660194,-122.322975,43.38, 44.42,5, Y 
47.625793,-122.33864,43.08, 43.86,10, Y 
47.537052,-122.281105,42.54, 42.71,8, Y 
47.66189,-122.3009,43.70, 46.43,11, Y 
47.59923,-122.29742,43.54, 45.82,11, Y 
47.648663,-122.35928,43.88, 46.80,12, Y 
47.610367,-122.31022,44.02, 47.02,12, Y 
47.57835,-122.30434,44.10, 46.97,12, Y 
47.608444,-122.332,44.28, 47.27,12, Y 
47.660015,-122.364,44.65, 46.12,11, Y 
